disease,prevalence_0yr_internal,prevalence_1yr_internal,prevalence_2yr_internal,prevalence_5yr_internal,prevalence_10yr_internal,prevalence_0yr_external,prevalence_1yr_external,prevalence_2yr_external,prevalence_5yr_external,prevalence_10yr_external
acute_kidney_injury,107,41,116,453,1668,18,1,6,29,148
alzheimers_disease,7,5,14,83,355,2,1,7,17,52
atrial_fibrillation,1018,134,318,953,2252,145,14,39,104,258
chronic_kidney_disease,853,122,303,859,1987,29,1,4,26,108
copd,1068,81,187,567,1411,151,15,22,65,137
end_stage_renal_disease,244,23,55,102,219,43,5,7,14,23
heart_failure,429,68,161,434,1248,59,6,16,77,146
hypertensive_heart_kidney_diseases,169,69,147,255,314,14,6,9,16,19
ischemic_heart_disease,2857,181,423,1221,2782,407,22,43,150,311
liver_disease,479,52,127,415,1056,62,8,18,40,102
lower_respiratory_disease,1084,56,126,372,864,158,7,20,46,98
other_dementia,40,6,22,136,548,2,4,6,17,52
parkinsons,141,32,80,348,581,17,7,17,36,51
peripheral_vascular_disease,879,79,172,473,1151,101,11,23,57,116
stroke,933,79,155,530,1367,132,5,14,68,188
type_1_diabetes,293,19,43,115,229,41,3,6,12,28
type_2_diabetes,1379,167,387,1080,2425,243,25,50,139,270
